Area,Genre,Name,Platform,Publisher,SumofRank,SumOfSales,Year
EU_Sales,Action,.hack: Sekai no Mukou ni + Versus,PS3,Namco Bandai Games,14279,0,2012
EU_Sales,Action,[Prototype 2],PC,Activision,10598,0.02,2012
EU_Sales,Action,[Prototype 2],PS3,Activision,2742,0.28,2012
EU_Sales,Action,[Prototype 2],X360,Activision,2576,0.25,2012
EU_Sales,Action,1001 Touch Games,DS,Avanquest,5538,0.17,2011
EU_Sales,Action,3rd Super Robot Wars Z: Tengoku-Hen,PS3,Namco Bandai Games,8848,0,2015
EU_Sales,Action,3rd Super Robot Wars Z: Tengoku-Hen,PSV,Namco Bandai Games,7942,0,2015
EU_Sales,Action,A Good Librarian Like a Good Shepherd: Library Party,PSV,Kaga Create,14353,0,2015
EU_Sales,Action,Abunai: Koi no Sousa Shitsu,PSP,Quinrose,16052,0,2012
EU_Sales,Action,Abunai: Koi no Sousa Shitsu,PSV,Asgard,15752,0,2015
EU_Sales,Action,Ace Combat: Assault Horizon,PS3,Namco Bandai Games,2764,0.16,2011
EU_Sales,Action,Ace Combat: Assault Horizon,X360,Namco Bandai Games,4021,0.12,2011
EU_Sales,Action,Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,D3Publisher,9010,0.03,2013
EU_Sales,Action,Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,D3Publisher,13211,0.02,2013
EU_Sales,Action,Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,D3Publisher,14105,0.01,2013
EU_Sales,Action,Adventure Time: Explore the Dungeon Because I Don't Know!,X360,D3Publisher,11425,0.04,2013
EU_Sales,Action,Adventure Time: Finn & Jake Investigations,3DS,Little Orbit,11780,0.05,2015
EU_Sales,Action,Adventure Time: Finn & Jake Investigations,PS3,Little Orbit,10435,0.07,2015
EU_Sales,Action,Adventure Time: Finn & Jake Investigations,PS4,Little Orbit,11185,0.04,2015
EU_Sales,Action,Adventure Time: Finn & Jake Investigations,WiiU,Little Orbit,12885,0.02,2015
EU_Sales,Action,Adventure Time: Finn & Jake Investigations,X360,Little Orbit,10884,0.06,2015
EU_Sales,Action,Adventure Time: Finn & Jake Investigations,XOne,Little Orbit,13126,0.02,2015
EU_Sales,Action,Adventure Time: The Secret of the Nameless Kingdom,3DS,Little Orbit,11432,0.07,2014
EU_Sales,Action,Adventure Time: The Secret of the Nameless Kingdom,X360,Little Orbit,11205,0.08,2014
EU_Sales,Action,Aikatsu! 2-nin no My Princess,3DS,Namco Bandai Games,6462,0,2013
EU_Sales,Action,Ailu de Puzzle,PSP,Capcom,14029,0,2012
EU_Sales,Action,AKB48+Me,3DS,Unknown,10244,0,2012
EU_Sales,Action,Akiba's Trip: Undead & Undressed,PS3,Nippon Ichi Software,10292,0.01,2013
EU_Sales,Action,Akiba's Trip: Undead & Undressed,PS4,Acquire,10100,0,2014
EU_Sales,Action,Akiba's Trip: Undead & Undressed,PSV,Nippon Ichi Software,7338,0.02,2013
